Frame,Resolution,Objects,Time
0,384x640,"13 persons,",425.8
0,384x640,"15 persons,",442.2
0,384x640,"14 persons,",444.4
0,384x640,"14 persons,",414.2
0,384x640,"18 persons,",271.3
0,384x640,"12 persons,",276.3
0,384x640,"16 persons,",274.4
0,384x640,"16 persons,",275.0
0,384x640,"17 persons,",270.8
0,384x640,"15 persons,",283.1
0,384x640,"19 persons,",268.4
0,384x640,"19 persons,",263.4
0,384x640,"15 persons,",276.6
0,384x640,"18 persons, 1 backpack,",271.3
0,384x640,"12 persons, 1 bench,",260.8
0,384x640,"12 persons, 1 bench,",276.3
0,384x640,"15 persons,",280.9
0,384x640,"15 persons,",261.9
0,384x640,"12 persons,",273.8
0,384x640,"11 persons,",288.3
0,384x640,"15 persons,",283.7
0,384x640,"16 persons,",285.5
0,384x640,"14 persons,",271.6
0,384x640,"14 persons,",268.9
0,384x640,"14 persons,",273.9
0,384x640,"15 persons,",258.1
0,384x640,"14 persons,",281.7
0,384x640,"16 persons,",276.1
0,384x640,"13 persons,",268.5
0,384x640,"16 persons,",270.1
0,384x640,"17 persons,",274.6
0,384x640,"14 persons,",270.5
0,384x640,"18 persons,",277.1
0,384x640,"21 persons,",278.4
0,384x640,"16 persons,",268.8
0,384x640,"14 persons,",266.4
0,384x640,"16 persons,",282.9
0,384x640,"13 persons,",342.4
0,384x640,"16 persons,",419.6
0,384x640,"17 persons,",461.3
0,384x640,"13 persons,",443.1
0,384x640,"14 persons,",425.7
0,384x640,"13 persons,",409.9
0,384x640,"12 persons,",477.1
0,384x640,"14 persons,",438.6
0,384x640,"13 persons,",418.3
0,384x640,"16 persons,",433.8
0,384x640,"10 persons,",395.2
0,384x640,"10 persons,",423.2
0,384x640,"15 persons,",426.0
0,384x640,"16 persons,",417.7
0,384x640,"15 persons,",430.5
0,384x640,"15 persons,",435.4
0,384x640,"17 persons,",418.8
0,384x640,"15 persons,",402.9
0,384x640,"17 persons,",306.4
0,384x640,"17 persons,",263.0
0,384x640,"17 persons,",265.3
0,384x640,"17 persons,",258.0
0,384x640,"17 persons,",257.7
0,384x640,"17 persons,",263.8
0,384x640,"17 persons,",261.9
0,384x640,"14 persons,",276.5
0,384x640,"14 persons,",277.8
0,384x640,"17 persons,",277.7
0,384x640,"14 persons,",272.5
0,384x640,"17 persons,",275.6
0,384x640,"18 persons,",272.5
0,384x640,"21 persons,",268.2
0,384x640,"21 persons, 1 skateboard,",275.5
0,384x640,"15 persons, 1 skateboard,",279.8
0,384x640,"15 persons,",264.3
0,384x640,"12 persons,",272.9
0,384x640,"16 persons,",267.9
0,384x640,"17 persons,",304.7
0,384x640,"17 persons,",268.0
0,384x640,"16 persons,",274.9
0,384x640,"16 persons,",303.1
0,384x640,"15 persons,",260.8
0,384x640,"15 persons,",315.1
0,384x640,"15 persons,",270.3
0,384x640,"16 persons,",278.8
0,384x640,"18 persons,",268.8
0,384x640,"12 persons,",281.4
0,384x640,"14 persons,",264.1
0,384x640,"14 persons,",258.4
0,384x640,"14 persons,",282.0
