[34m[1mdetect:,"[0mweights=['yolov5s.pt'],","source=https://youtu.be/d4xmdH2NKRI,","data=data/coco128.yaml,","imgsz=[640,","640],","conf_thres=0.25,","iou_thres=0.45,","max_det=1000,","device=,","view_img=False,","save_txt=False,","save_csv=False,","save_conf=False,","save_crop=False,","nosave=False,","classes=None,","agnostic_nms=False,","augment=False,","visualize=False,","update=False,","project=runs/detect,","name=exp,","exist_ok=False,","line_thickness=3,","hide_labels=False,","hide_conf=False,","half=False,","dnn=False,",vid_stride=1
YOLOv5,🚀,v7.0-247-g3f02fde,Python-3.10.12,torch-2.1.0+cu118,CPU

Downloading,https://github.com/ultralytics/yolov5/releases/download/v7.0/yolov5s.pt,to,yolov5s.pt...
0%,0.00/14.1M,"[00:00<?,",?B/s],29%,4.08M/14.1M,"[00:00<00:00,",42.8MB/s],100%,14.1M/14.1M,"[00:00<00:00,",106MB/s]

Fusing,layers...
YOLOv5s,summary:,213,"layers,",7225885,"parameters,",0,"gradients,",16.4,GFLOPs
WARNING,⚠️,Environment,does,not,support,cv2.imshow(),or,PIL,Image.show()

1/1:,https://youtu.be/d4xmdH2NKRI...,Success,(3599,frames,1280x720,at,30.00,FPS)

0:,384x640,17,"persons,",536.5ms
0:,384x640,15,"persons,",433.5ms
0:,384x640,14,"persons,",423.6ms
0:,384x640,16,"persons,",424.7ms
0:,384x640,18,"persons,",434.5ms
0:,384x640,20,"persons,",426.5ms
0:,384x640,16,"persons,",390.3ms
0:,384x640,15,"persons,",284.5ms
0:,384x640,18,"persons,",273.2ms
0:,384x640,21,"persons,",260.8ms
0:,384x640,16,"persons,",278.3ms
0:,384x640,16,"persons,",1,"bench,",279.7ms
0:,384x640,20,"persons,",1,potted,"plant,",267.9ms
0:,384x640,18,"persons,",1,potted,"plant,",270.4ms
0:,384x640,16,"persons,",285.4ms
0:,384x640,19,"persons,",2,potted,"plants,",274.5ms
0:,384x640,14,"persons,",1,potted,"plant,",280.4ms
0:,384x640,17,"persons,",1,potted,"plant,",284.0ms
0:,384x640,20,"persons,",1,potted,"plant,",278.0ms
0:,384x640,15,"persons,",1,potted,"plant,",261.6ms
0:,384x640,15,"persons,",1,potted,"plant,",271.7ms
0:,384x640,15,"persons,",1,potted,"plant,",289.6ms
0:,384x640,16,"persons,",1,"bench,",1,potted,"plant,",262.3ms
0:,384x640,16,"persons,",1,"bench,",1,potted,"plant,",278.4ms
0:,384x640,18,"persons,",1,potted,"plant,",282.1ms
0:,384x640,18,"persons,",1,"bench,",1,potted,"plant,",262.9ms
0:,384x640,16,"persons,",1,"bench,",1,potted,"plant,",273.8ms
0:,384x640,17,"persons,",1,potted,"plant,",282.3ms
0:,384x640,16,"persons,",1,potted,"plant,",269.5ms
0:,384x640,21,"persons,",1,"bench,",1,potted,"plant,",261.9ms
0:,384x640,21,"persons,",1,"bench,",1,potted,"plant,",283.4ms
0:,384x640,19,"persons,",287.7ms
0:,384x640,19,"persons,",276.2ms
0:,384x640,19,"persons,",272.9ms
0:,384x640,18,"persons,",1,potted,"plant,",280.7ms
0:,384x640,20,"persons,",1,potted,"plant,",273.0ms
0:,384x640,19,"persons,",266.4ms
0:,384x640,19,"persons,",261.2ms
0:,384x640,21,"persons,",1,potted,"plant,",281.1ms
0:,384x640,19,"persons,",1,potted,"plant,",264.8ms
0:,384x640,20,"persons,",1,potted,"plant,",362.9ms
0:,384x640,24,"persons,",1,"bench,",1,potted,"plant,",442.8ms
0:,384x640,18,"persons,",1,"bench,",1,potted,"plant,",455.4ms
0:,384x640,20,"persons,",1,"bench,",428.8ms
0:,384x640,17,"persons,",1,"bench,",434.5ms
0:,384x640,21,"persons,",1,potted,"plant,",470.7ms
0:,384x640,16,"persons,",1,"bench,",444.8ms
